white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
DOMINGUEZ PEREZ Leinier,2741,ERIGAISI Arjun,2799,1 - 0,Scandinavian Defense,classical,2020-04-25,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,SHUVALOVA Polina,2495,1 - 0,Alekhine Defense,classical,2020-08-24,Tata Steel,Wijk aan Zee
ASSAUBAYEVA Bibisara,2488,SKRIPCHENKO Almira,2361,0 - 1,Ruy Lopez,blitz,2020-06-03,World Blitz Championship,Dubai
WEI Yi,2753,FIROUZJA Alireza,2763,1 - 0,Vienna Game,classical,2020-12-25,Tata Steel,Wijk aan Zee
CARLSEN Magnus,2831,DZAGNIDZE Nana,2518,X - X,London System,classical,2020-05-24,Sinquefield Cup,Saint Louis
SCHIPPKE Manon,2272,LAGNO Kateryna,2527,X - X,Berlin Defense,classical,2020-10-14,Isle of Man Open,Douglas
DAULYTE-CORNETTE Deimante,2371,ANAND Viswanathan,2750,X - X,King's Indian Defense,rapid,2020-01-04,Grand Chess Tour Croatia,Zagreb
WEI Yi,2753,LE Quang Liem,2739,1 - 0,London System,rapid,2020-07-22,World Rapid Championship,Samarkand
MOUSSARD Jules,2600,LAGNO Kateryna,2527,X - X,Catalan Opening,rapid,2020-01-08,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,ABDUSATTOROV Nodirbek,2777,X - X,Pirc Defense,classical,2020-07-17,Norway Chess,Stavanger
HEJAZIPOUR Mitra,2309,SHUVALOVA Polina,2495,X - X,London System,classical,2020-11-09,Candidates,Madrid
VAISHALI Rameshbabu,2490,BACROT Etienne,2653,X - X,Queen's Gambit Accepted,classical,2020-05-22,Sinquefield Cup,Saint Louis
GUICHARD Pauline,2357,GORYACHKINA Aleksandra,2528,0 - 1,Alekhine Defense,classical,2020-07-19,Sinquefield Cup,Saint Louis
POLGAR Judith,2732,HOU Yifan,2633,X - X,Ruy Lopez,blitz,2020-04-01,World Blitz Championship,Dubai
IGLESIAS Yosha,2296,ARONIAN Levon,2739,X - X,Larsen Opening,rapid,2020-07-19,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,KEYMER Vincent,2733,X - X,French Defense,classical,2020-05-27,Tata Steel,Wijk aan Zee
TAN Zhongyi,2551,ANAND Viswanathan,2750,X - X,Italian Game,classical,2020-12-14,Candidates,Madrid
TAN Zhongyi,2551,SHUVALOVA Polina,2495,X - X,Nimzo-Indian Defense,classical,2020-09-04,Sinquefield Cup,Saint Louis
POLGAR Judith,2732,DAULYTE-CORNETTE Deimante,2371,X - X,Nimzo-Indian Defense,classical,2020-11-10,Norway Chess,Stavanger
KEYMER Vincent,2733,GUICHARD Pauline,2357,1 - 0,Dutch Defense,classical,2020-03-28,Norway Chess,Stavanger
POLGAR Judith,2732,NAKAMURA Hikaru,2802,X - X,Ruy Lopez,classical,2020-01-05,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,SO Wesley,2747,X - X,Caro-Kann Defense,classical,2020-08-12,Candidates,Madrid
KONERU Humpy,2530,VAISHALI Rameshbabu,2490,0 - 1,Semi-Slav Defense,rapid,2020-06-06,Grand Chess Tour Croatia,Zagreb
ABDUSATTOROV Nodirbek,2777,KOSTENIUK Alexandra,2487,1 - 0,King's Indian Defense,classical,2020-09-18,Tata Steel,Wijk aan Zee
FRESSINET Laurent,2605,IGLESIAS Yosha,2296,0 - 1,Scotch Game,rapid,2020-09-04,World Rapid Championship,Samarkand
MUZYCHUK Anna,2515,GORYACHKINA Aleksandra,2528,1 - 0,Semi-Slav Defense,classical,2020-03-29,Isle of Man Open,Douglas
LEI Tingjie,2549,ANAND Viswanathan,2750,1 - 0,Petrov Defense,classical,2020-11-17,Norway Chess,Stavanger
DRONAVALLI Harika,2493,SAVINA Anastasia,2324,X - X,London System,classical,2020-08-12,Candidates,Madrid
VAISHALI Rameshbabu,2490,HOU Yifan,2633,0 - 1,French Defense,classical,2020-10-30,Sinquefield Cup,Saint Louis
NAKAMURA Hikaru,2802,PRAGGNANANDHAA R,2737,1 - 0,Pirc Defense,rapid,2020-10-02,World Rapid Championship,Samarkand
VIDIT Santosh Gujrathi,2739,HOU Yifan,2633,X - X,Alekhine Defense,classical,2020-02-10,Sinquefield Cup,Saint Louis
ABDUSATTOROV Nodirbek,2777,PRAGGNANANDHAA R,2737,0 - 1,London System,classical,2020-08-09,Tata Steel,Wijk aan Zee
KRAMNIK Vladimir,2810,MOUSSARD Jules,2600,X - X,Ruy Lopez,classical,2020-03-28,Isle of Man Open,Douglas
BACROT Etienne,2653,WEI Yi,2753,1 - 0,Catalan Opening,blitz,2020-06-26,World Blitz Championship,Dubai
VACHIER-LAGRAVE Maxime,2737,CARLSEN Magnus,2831,0 - 1,Pirc Defense,classical,2020-09-06,World Cup,Baku
DING Liren,2728,ERIGAISI Arjun,2799,X - X,Reti Opening,classical,2020-05-07,Tata Steel,Wijk aan Zee
PRAGGNANANDHAA R,2737,SAVINA Anastasia,2324,1 - 0,King's Indian Defense,rapid,2020-02-03,World Rapid Championship,Samarkand
SHUVALOVA Polina,2495,SKRIPCHENKO Almira,2361,X - X,Alekhine Defense,classical,2020-08-26,Sinquefield Cup,Saint Louis
IGLESIAS Yosha,2296,KRAMNIK Vladimir,2810,0 - 1,Grunfeld Defense,classical,2020-10-21,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,LE Quang Liem,2739,X - X,Ruy Lopez,rapid,2020-04-30,Grand Chess Tour Croatia,Zagreb
VAISHALI Rameshbabu,2490,KEYMER Vincent,2733,X - X,Scotch Game,classical,2020-07-07,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,MOUSSARD Jules,2600,X - X,King's Indian Defense,classical,2020-07-29,Candidates,Madrid
CARUANA Fabiano,2805,VIDIT Santosh Gujrathi,2739,X - X,London System,classical,2020-09-21,Isle of Man Open,Douglas
SEBAG Marie,2448,DRONAVALLI Harika,2493,1 - 0,Semi-Slav Defense,blitz,2020-01-04,Titled Tuesday,NA
NAVROTESCU Andreea,2338,CARUANA Fabiano,2805,X - X,Grunfeld Defense,blitz,2020-04-20,Titled Tuesday,NA
SCHIPPKE Manon,2272,MILLIET Sophie,2366,X - X,Berlin Defense,rapid,2020-04-16,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,MUZYCHUK Mariya,2505,0 - 1,Sicilian Defense,classical,2020-10-30,World Cup,Baku
KASPAROV Garry,2850,TAN Zhongyi,2551,X - X,Pirc Defense,classical,2020-07-21,World Cup,Baku
ARONIAN Levon,2739,HOU Yifan,2633,X - X,Scotch Game,classical,2020-11-09,Candidates,Madrid
SAVINA Anastasia,2324,POLGAR Judith,2732,X - X,Scandinavian Defense,classical,2020-12-21,Candidates,Madrid
MAMEDYAROV Shakhriyar,2738,SEBAG Marie,2448,X - X,French Defense,rapid,2020-08-27,Grand Chess Tour Croatia,Zagreb
ASSAUBAYEVA Bibisara,2488,ERIGAISI Arjun,2799,X - X,Scotch Game,classical,2020-09-05,Isle of Man Open,Douglas
SO Wesley,2747,ZHU Jiner,2514,1 - 0,Larsen Opening,classical,2020-01-11,Tata Steel,Wijk aan Zee
LE Quang Liem,2739,LAGARDE Maxime,2606,1 - 0,French Defense,classical,2020-12-23,Sinquefield Cup,Saint Louis
CARUANA Fabiano,2805,FIROUZJA Alireza,2763,X - X,King's Indian Defense,classical,2020-11-09,Candidates,Madrid
MUZYCHUK Anna,2515,ZHU Jiner,2514,X - X,Pirc Defense,blitz,2020-10-09,World Blitz Championship,Dubai
DOMINGUEZ PEREZ Leinier,2741,BACROT Etienne,2653,1 - 0,Dutch Defense,classical,2020-12-31,Norway Chess,Stavanger
DOMINGUEZ PEREZ Leinier,2741,LAGARDE Maxime,2606,X - X,English Opening,rapid,2020-06-20,Grand Chess Tour Croatia,Zagreb
PRAGGNANANDHAA R,2737,DUDA Jan-Krzysztof,2740,0 - 1,Pirc Defense,classical,2020-08-30,Sinquefield Cup,Saint Louis
DING Liren,2728,SKRIPCHENKO Almira,2361,1 - 0,Grunfeld Defense,rapid,2020-06-01,Grand Chess Tour Croatia,Zagreb
HEJAZIPOUR Mitra,2309,LAGARDE Maxime,2606,1 - 0,French Defense,classical,2020-04-24,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,JU Wenjun,2563,X - X,Reti Opening,rapid,2020-08-08,World Rapid Championship,Samarkand
MUZYCHUK Anna,2515,WEI Yi,2753,X - X,Reti Opening,blitz,2020-04-06,World Blitz Championship,Dubai
ERIGAISI Arjun,2799,KASHLINSKAYA Alina,2493,0 - 1,Caro-Kann Defense,classical,2020-09-20,Tata Steel,Wijk aan Zee
MILLIET Sophie,2366,ARONIAN Levon,2739,X - X,Catalan Opening,rapid,2020-05-05,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,DRONAVALLI Harika,2493,X - X,Grunfeld Defense,classical,2020-07-18,Sinquefield Cup,Saint Louis
ERIGAISI Arjun,2799,NIEMANN Hans Moke,2734,X - X,Queen's Gambit Accepted,classical,2020-10-22,Candidates,Madrid
HEJAZIPOUR Mitra,2309,NAVROTESCU Andreea,2338,X - X,Dutch Defense,rapid,2020-09-29,World Rapid Championship,Samarkand
CARUANA Fabiano,2805,NEPOMNIACHTCHI Ian,2755,X - X,Larsen Opening,classical,2020-10-09,Sinquefield Cup,Saint Louis
ARONIAN Levon,2739,LEI Tingjie,2549,0 - 1,Sicilian Defense,classical,2020-12-02,Sinquefield Cup,Saint Louis
GUICHARD Pauline,2357,MUZYCHUK Anna,2515,1 - 0,French Defense,classical,2020-11-13,Tata Steel,Wijk aan Zee
CARUANA Fabiano,2805,VIDIT Santosh Gujrathi,2739,1 - 0,Pirc Defense,classical,2020-08-03,World Cup,Baku
KRAMNIK Vladimir,2810,KASHLINSKAYA Alina,2493,X - X,King's Indian Defense,rapid,2020-03-25,Grand Chess Tour Croatia,Zagreb
DRONAVALLI Harika,2493,MILLIET Sophie,2366,1 - 0,Ruy Lopez,blitz,2020-02-06,World Blitz Championship,Dubai
MILLIET Sophie,2366,GUICHARD Pauline,2357,X - X,London System,blitz,2020-08-06,Titled Tuesday,NA
JU Wenjun,2563,GUKESH D,2783,X - X,Queen's Gambit Accepted,classical,2020-09-17,Tata Steel,Wijk aan Zee
MUZYCHUK Anna,2515,SO Wesley,2747,X - X,French Defense,classical,2020-11-02,Norway Chess,Stavanger
GUICHARD Pauline,2357,VIDIT Santosh Gujrathi,2739,0 - 1,Dutch Defense,rapid,2020-04-07,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,KEYMER Vincent,2733,X - X,London System,classical,2020-11-05,Sinquefield Cup,Saint Louis
ZHU Jiner,2514,KEYMER Vincent,2733,X - X,English Opening,rapid,2020-05-14,World Rapid Championship,Samarkand
HEJAZIPOUR Mitra,2309,ARONIAN Levon,2739,0 - 1,Dutch Defense,classical,2020-03-04,Sinquefield Cup,Saint Louis
SHUVALOVA Polina,2495,GUICHARD Pauline,2357,1 - 0,French Defense,blitz,2020-06-23,Titled Tuesday,NA
SAVINA Anastasia,2324,FRESSINET Laurent,2605,1 - 0,King's Indian Defense,classical,2020-01-05,Tata Steel,Wijk aan Zee
KASPAROV Garry,2850,KOSTENIUK Alexandra,2487,X - X,Berlin Defense,rapid,2020-06-26,Grand Chess Tour Croatia,Zagreb
MOUSSARD Jules,2600,LE Quang Liem,2739,X - X,Grunfeld Defense,rapid,2020-03-28,World Rapid Championship,Samarkand
MILLIET Sophie,2366,SAVINA Anastasia,2324,X - X,Nimzo-Indian Defense,classical,2020-07-28,Candidates,Madrid
GIRI Anish,2733,KONERU Humpy,2530,1 - 0,Dutch Defense,classical,2020-04-04,Candidates,Madrid
LEI Tingjie,2549,TAN Zhongyi,2551,0 - 1,Scandinavian Defense,rapid,2020-04-20,Grand Chess Tour Croatia,Zagreb
POLGAR Judith,2732,NAVROTESCU Andreea,2338,1 - 0,Vienna Game,classical,2020-08-02,Norway Chess,Stavanger
VIDIT Santosh Gujrathi,2739,NEPOMNIACHTCHI Ian,2755,X - X,Semi-Slav Defense,classical,2020-03-16,Sinquefield Cup,Saint Louis
CARUANA Fabiano,2805,KONERU Humpy,2530,0 - 1,Grunfeld Defense,classical,2020-12-30,Sinquefield Cup,Saint Louis
ZHU Jiner,2514,NIEMANN Hans Moke,2734,0 - 1,French Defense,classical,2020-06-18,World Cup,Baku
LEI Tingjie,2549,KEYMER Vincent,2733,X - X,Sicilian Defense,classical,2020-07-24,Tata Steel,Wijk aan Zee
GIRI Anish,2733,LAGNO Kateryna,2527,X - X,Sicilian Defense,classical,2020-08-17,World Cup,Baku
DING Liren,2728,KRAMNIK Vladimir,2810,X - X,Grunfeld Defense,classical,2020-12-18,Tata Steel,Wijk aan Zee
DRONAVALLI Harika,2493,KOSTENIUK Alexandra,2487,X - X,Reti Opening,classical,2020-02-16,Isle of Man Open,Douglas
DRONAVALLI Harika,2493,IGLESIAS Yosha,2296,1 - 0,Grunfeld Defense,classical,2020-01-16,Norway Chess,Stavanger
DOMINGUEZ PEREZ Leinier,2741,HOU Yifan,2633,1 - 0,Petrov Defense,classical,2020-11-07,Sinquefield Cup,Saint Louis
SAVINA Anastasia,2324,ERIGAISI Arjun,2799,X - X,Nimzo-Indian Defense,blitz,2020-11-11,Titled Tuesday,NA
DUDA Jan-Krzysztof,2740,SKRIPCHENKO Almira,2361,X - X,Vienna Game,classical,2020-12-24,Norway Chess,Stavanger
FRESSINET Laurent,2605,SAVINA Anastasia,2324,X - X,Ruy Lopez,classical,2020-06-07,Tata Steel,Wijk aan Zee
KASHLINSKAYA Alina,2493,SHUVALOVA Polina,2495,1 - 0,Queen's Gambit Accepted,classical,2020-11-04,Candidates,Madrid
FRESSINET Laurent,2605,GUICHARD Pauline,2357,X - X,Larsen Opening,classical,2020-09-06,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,GUKESH D,2783,X - X,English Opening,classical,2020-02-07,Candidates,Madrid
POLGAR Judith,2732,NAVROTESCU Andreea,2338,1 - 0,Sicilian Defense,classical,2020-03-28,Candidates,Madrid
NEPOMNIACHTCHI Ian,2755,NIEMANN Hans Moke,2734,X - X,Italian Game,classical,2020-05-10,Tata Steel,Wijk aan Zee
ASSAUBAYEVA Bibisara,2488,KEYMER Vincent,2733,X - X,Sicilian Defense,classical,2020-11-17,Candidates,Madrid
ERIGAISI Arjun,2799,NEPOMNIACHTCHI Ian,2755,0 - 1,Pirc Defense,rapid,2020-03-09,Grand Chess Tour Croatia,Zagreb
SAVINA Anastasia,2324,SCHIPPKE Manon,2272,X - X,Semi-Slav Defense,classical,2020-11-21,Candidates,Madrid
DAULYTE-CORNETTE Deimante,2371,MILLIET Sophie,2366,1 - 0,Larsen Opening,classical,2020-02-28,Candidates,Madrid
GUICHARD Pauline,2357,GORYACHKINA Aleksandra,2528,X - X,French Defense,rapid,2020-09-15,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,HEJAZIPOUR Mitra,2309,X - X,Nimzo-Indian Defense,classical,2020-08-21,Candidates,Madrid
PRAGGNANANDHAA R,2737,LE Quang Liem,2739,1 - 0,Larsen Opening,rapid,2020-08-17,Grand Chess Tour Croatia,Zagreb
VIDIT Santosh Gujrathi,2739,KOSTENIUK Alexandra,2487,1 - 0,Nimzo-Indian Defense,classical,2020-03-22,Tata Steel,Wijk aan Zee
KEYMER Vincent,2733,DUDA Jan-Krzysztof,2740,1 - 0,Larsen Opening,classical,2020-04-06,World Cup,Baku
MUZYCHUK Anna,2515,KRAMNIK Vladimir,2810,X - X,Dutch Defense,classical,2020-12-11,Tata Steel,Wijk aan Zee
NAVROTESCU Andreea,2338,MAMEDYAROV Shakhriyar,2738,X - X,Caro-Kann Defense,classical,2020-05-30,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,DOMINGUEZ PEREZ Leinier,2741,X - X,Dutch Defense,classical,2020-09-01,Norway Chess,Stavanger
LEI Tingjie,2549,FRESSINET Laurent,2605,X - X,Queen's Gambit Accepted,classical,2020-07-21,Candidates,Madrid
BACROT Etienne,2653,SAVINA Anastasia,2324,X - X,Scotch Game,classical,2020-08-29,Tata Steel,Wijk aan Zee
GUICHARD Pauline,2357,FRESSINET Laurent,2605,X - X,Semi-Slav Defense,classical,2020-02-18,Norway Chess,Stavanger
SKRIPCHENKO Almira,2361,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Scandinavian Defense,classical,2020-08-22,Sinquefield Cup,Saint Louis
BACROT Etienne,2653,DUDA Jan-Krzysztof,2740,1 - 0,Semi-Slav Defense,classical,2020-10-06,Isle of Man Open,Douglas
SCHIPPKE Manon,2272,DING Liren,2728,X - X,Reti Opening,classical,2020-01-27,Tata Steel,Wijk aan Zee
KOSTENIUK Alexandra,2487,KRAMNIK Vladimir,2810,1 - 0,Vienna Game,classical,2020-08-16,Candidates,Madrid
DZAGNIDZE Nana,2518,HEJAZIPOUR Mitra,2309,0 - 1,Italian Game,classical,2020-09-13,Tata Steel,Wijk aan Zee
DUDA Jan-Krzysztof,2740,SO Wesley,2747,X - X,English Opening,classical,2020-04-27,Sinquefield Cup,Saint Louis
GUKESH D,2783,ERIGAISI Arjun,2799,X - X,Sicilian Defense,classical,2020-08-26,Sinquefield Cup,Saint Louis
POLGAR Judith,2732,CARLSEN Magnus,2831,0 - 1,Vienna Game,rapid,2020-02-11,Grand Chess Tour Croatia,Zagreb
ASSAUBAYEVA Bibisara,2488,SCHIPPKE Manon,2272,1 - 0,Semi-Slav Defense,rapid,2020-12-02,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Anna,2515,DOMINGUEZ PEREZ Leinier,2741,X - X,Sicilian Defense,classical,2020-08-18,Sinquefield Cup,Saint Louis
VIDIT Santosh Gujrathi,2739,KASPAROV Garry,2850,X - X,Nimzo-Indian Defense,classical,2020-02-10,Candidates,Madrid
MUZYCHUK Anna,2515,FIROUZJA Alireza,2763,1 - 0,Larsen Opening,blitz,2020-02-23,Titled Tuesday,NA
IGLESIAS Yosha,2296,NEPOMNIACHTCHI Ian,2755,X - X,Semi-Slav Defense,classical,2020-02-29,Candidates,Madrid
VAISHALI Rameshbabu,2490,TAN Zhongyi,2551,X - X,Vienna Game,classical,2020-10-11,Candidates,Madrid
DOMINGUEZ PEREZ Leinier,2741,FRESSINET Laurent,2605,X - X,London System,classical,2020-02-03,World Cup,Baku
NAKAMURA Hikaru,2802,ANAND Viswanathan,2750,0 - 1,Caro-Kann Defense,rapid,2020-12-12,Grand Chess Tour Croatia,Zagreb
FIROUZJA Alireza,2763,KASHLINSKAYA Alina,2493,0 - 1,King's Indian Defense,classical,2020-10-30,Isle of Man Open,Douglas
BACROT Etienne,2653,GIRI Anish,2733,0 - 1,London System,classical,2020-07-27,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,DRONAVALLI Harika,2493,X - X,Reti Opening,classical,2020-08-20,Sinquefield Cup,Saint Louis
SEBAG Marie,2448,JU Wenjun,2563,X - X,Queen's Gambit Accepted,classical,2020-02-16,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,NIEMANN Hans Moke,2734,X - X,Sicilian Defense,classical,2020-01-28,Isle of Man Open,Douglas
MUZYCHUK Mariya,2505,NAKAMURA Hikaru,2802,0 - 1,Italian Game,classical,2020-08-20,Sinquefield Cup,Saint Louis
SCHIPPKE Manon,2272,IGLESIAS Yosha,2296,X - X,Nimzo-Indian Defense,classical,2020-09-12,Sinquefield Cup,Saint Louis
GUICHARD Pauline,2357,HEJAZIPOUR Mitra,2309,X - X,Berlin Defense,classical,2020-02-01,Sinquefield Cup,Saint Louis
CARUANA Fabiano,2805,LAGNO Kateryna,2527,1 - 0,Larsen Opening,rapid,2020-11-21,Grand Chess Tour Croatia,Zagreb
DUDA Jan-Krzysztof,2740,IGLESIAS Yosha,2296,0 - 1,Larsen Opening,rapid,2020-03-14,Grand Chess Tour Croatia,Zagreb
VACHIER-LAGRAVE Maxime,2737,DING Liren,2728,1 - 0,Scandinavian Defense,blitz,2020-03-08,Titled Tuesday,NA
VIDIT Santosh Gujrathi,2739,CARLSEN Magnus,2831,X - X,Reti Opening,rapid,2020-09-08,World Rapid Championship,Samarkand
DRONAVALLI Harika,2493,ANAND Viswanathan,2750,0 - 1,Vienna Game,classical,2020-01-10,Isle of Man Open,Douglas
ZHU Jiner,2514,BACROT Etienne,2653,0 - 1,Scotch Game,rapid,2020-04-05,Grand Chess Tour Croatia,Zagreb
FRESSINET Laurent,2605,VIDIT Santosh Gujrathi,2739,1 - 0,Nimzo-Indian Defense,classical,2020-07-25,Candidates,Madrid
PRAGGNANANDHAA R,2737,ABDUSATTOROV Nodirbek,2777,X - X,Nimzo-Indian Defense,rapid,2020-07-01,Grand Chess Tour Croatia,Zagreb
VACHIER-LAGRAVE Maxime,2737,DING Liren,2728,X - X,Alekhine Defense,rapid,2020-06-29,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,KRAMNIK Vladimir,2810,1 - 0,French Defense,rapid,2020-10-03,Grand Chess Tour Croatia,Zagreb
SEBAG Marie,2448,POLGAR Judith,2732,1 - 0,Catalan Opening,classical,2020-06-03,Sinquefield Cup,Saint Louis
ERIGAISI Arjun,2799,SEBAG Marie,2448,1 - 0,English Opening,classical,2020-02-09,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,JU Wenjun,2563,X - X,Queen's Gambit Accepted,rapid,2020-01-10,Grand Chess Tour Croatia,Zagreb
VACHIER-LAGRAVE Maxime,2737,IGLESIAS Yosha,2296,X - X,Caro-Kann Defense,classical,2020-03-11,Tata Steel,Wijk aan Zee
LEI Tingjie,2549,DOMINGUEZ PEREZ Leinier,2741,1 - 0,London System,classical,2020-12-27,Sinquefield Cup,Saint Louis
DOMINGUEZ PEREZ Leinier,2741,CARUANA Fabiano,2805,0 - 1,Scotch Game,rapid,2020-07-24,World Rapid Championship,Samarkand
DING Liren,2728,KASHLINSKAYA Alina,2493,X - X,Catalan Opening,classical,2020-04-06,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,TAN Zhongyi,2551,1 - 0,Catalan Opening,classical,2020-05-29,Norway Chess,Stavanger
VIDIT Santosh Gujrathi,2739,GUICHARD Pauline,2357,X - X,Italian Game,classical,2020-03-17,Candidates,Madrid
ABDUSATTOROV Nodirbek,2777,DRONAVALLI Harika,2493,X - X,Nimzo-Indian Defense,rapid,2020-08-11,World Rapid Championship,Samarkand
SKRIPCHENKO Almira,2361,LAGNO Kateryna,2527,1 - 0,Queen's Gambit Accepted,classical,2020-12-16,Isle of Man Open,Douglas
CARUANA Fabiano,2805,KONERU Humpy,2530,1 - 0,Catalan Opening,classical,2020-11-19,Norway Chess,Stavanger
DZAGNIDZE Nana,2518,MILLIET Sophie,2366,1 - 0,English Opening,rapid,2020-07-06,Grand Chess Tour Croatia,Zagreb
KOSTENIUK Alexandra,2487,ANAND Viswanathan,2750,X - X,Ruy Lopez,rapid,2020-08-24,World Rapid Championship,Samarkand
LAGARDE Maxime,2606,SO Wesley,2747,X - X,Alekhine Defense,classical,2020-05-06,World Cup,Baku
KRAMNIK Vladimir,2810,DAULYTE-CORNETTE Deimante,2371,1 - 0,Scotch Game,classical,2020-12-28,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,KRAMNIK Vladimir,2810,0 - 1,Larsen Opening,rapid,2020-04-08,Grand Chess Tour Croatia,Zagreb
DAULYTE-CORNETTE Deimante,2371,LEI Tingjie,2549,X - X,Grunfeld Defense,classical,2020-10-27,Isle of Man Open,Douglas
WEI Yi,2753,DRONAVALLI Harika,2493,X - X,Semi-Slav Defense,classical,2020-04-08,Candidates,Madrid
DING Liren,2728,SAVINA Anastasia,2324,1 - 0,Berlin Defense,blitz,2020-10-15,Titled Tuesday,NA
FIROUZJA Alireza,2763,TAN Zhongyi,2551,1 - 0,Semi-Slav Defense,rapid,2020-03-31,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,GIRI Anish,2733,X - X,Italian Game,rapid,2020-09-07,Grand Chess Tour Croatia,Zagreb
DUDA Jan-Krzysztof,2740,KONERU Humpy,2530,X - X,Queen's Gambit Accepted,classical,2020-01-17,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,KEYMER Vincent,2733,X - X,Berlin Defense,classical,2020-12-28,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,MUZYCHUK Anna,2515,0 - 1,Pirc Defense,classical,2020-12-05,Isle of Man Open,Douglas
MUZYCHUK Mariya,2505,POLGAR Judith,2732,1 - 0,Berlin Defense,classical,2020-12-26,Tata Steel,Wijk aan Zee
HOU Yifan,2633,SHUVALOVA Polina,2495,1 - 0,Ruy Lopez,classical,2020-10-14,Candidates,Madrid
PRAGGNANANDHAA R,2737,VIDIT Santosh Gujrathi,2739,X - X,Sicilian Defense,rapid,2020-05-31,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,NEPOMNIACHTCHI Ian,2755,0 - 1,Vienna Game,rapid,2020-02-18,World Rapid Championship,Samarkand
NEPOMNIACHTCHI Ian,2755,KASPAROV Garry,2850,0 - 1,Dutch Defense,rapid,2020-07-28,Grand Chess Tour Croatia,Zagreb
NIEMANN Hans Moke,2734,SHUVALOVA Polina,2495,X - X,Berlin Defense,rapid,2020-04-20,Grand Chess Tour Croatia,Zagreb
IGLESIAS Yosha,2296,KONERU Humpy,2530,1 - 0,London System,classical,2020-11-05,Sinquefield Cup,Saint Louis
DING Liren,2728,DUDA Jan-Krzysztof,2740,1 - 0,Semi-Slav Defense,classical,2020-01-31,Tata Steel,Wijk aan Zee
CARUANA Fabiano,2805,IGLESIAS Yosha,2296,X - X,Sicilian Defense,rapid,2020-01-02,World Rapid Championship,Samarkand
KEYMER Vincent,2733,GORYACHKINA Aleksandra,2528,X - X,King's Indian Defense,classical,2020-05-31,Sinquefield Cup,Saint Louis
NIEMANN Hans Moke,2734,DING Liren,2728,X - X,Alekhine Defense,rapid,2020-04-07,Grand Chess Tour Croatia,Zagreb
KASPAROV Garry,2850,ARONIAN Levon,2739,X - X,French Defense,rapid,2020-02-19,Grand Chess Tour Croatia,Zagreb
VAISHALI Rameshbabu,2490,CARUANA Fabiano,2805,X - X,Petrov Defense,blitz,2020-10-01,World Blitz Championship,Dubai
HOU Yifan,2633,JU Wenjun,2563,0 - 1,King's Indian Defense,classical,2020-06-27,Tata Steel,Wijk aan Zee
NAVROTESCU Andreea,2338,ANAND Viswanathan,2750,X - X,French Defense,classical,2020-06-06,Tata Steel,Wijk aan Zee
LEI Tingjie,2549,NIEMANN Hans Moke,2734,1 - 0,Semi-Slav Defense,classical,2020-08-19,Tata Steel,Wijk aan Zee
MOUSSARD Jules,2600,GORYACHKINA Aleksandra,2528,X - X,Caro-Kann Defense,classical,2020-04-10,Isle of Man Open,Douglas
MUZYCHUK Anna,2515,NAVROTESCU Andreea,2338,X - X,French Defense,blitz,2020-11-29,Titled Tuesday,NA
POLGAR Judith,2732,BACROT Etienne,2653,X - X,Italian Game,classical,2020-09-23,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,GORYACHKINA Aleksandra,2528,X - X,Semi-Slav Defense,classical,2020-02-26,World Cup,Baku
SCHIPPKE Manon,2272,BACROT Etienne,2653,1 - 0,Scandinavian Defense,classical,2020-11-05,Isle of Man Open,Douglas
NAKAMURA Hikaru,2802,MAMEDYAROV Shakhriyar,2738,1 - 0,Reti Opening,blitz,2020-04-16,Titled Tuesday,NA
MILLIET Sophie,2366,GUKESH D,2783,1 - 0,Queen's Gambit Accepted,rapid,2020-12-07,Grand Chess Tour Croatia,Zagreb
